,HLM_ELM,MLMP,SLMP,SLMPbox,Linear SVC,RBF SVC,DEP,r-DEP (Ensemble),r-DEP (Bagging)
Monks-2,0.7622061482820977,0.5,0.5,0.5,0.5,0.6469258589511754,0.5574141048824592,0.7186558167570826,0.7703435804701627
Monks-2,0.7090151281259649,0.5,0.5,0.5,0.5,0.6566841617783267,0.5,0.6818462488422352,0.787588761963569
Monks-2,0.6670268601420192,0.5,0.5,0.5,0.5,0.6552948440876813,0.5,0.7090151281259649,0.7812596480395184
Monks-2,0.7347946897190492,0.5,0.5,0.5,0.5,0.6698054955233097,0.5747144180302562,0.7012966965112689,0.7437480703920962
Monks-2,0.7000617474529176,0.5,0.5,0.5,0.5,0.584439641864773,0.5674590923124421,0.7221364618709478,0.8196974374807039
Australian,0.8629976580796253,0.561315733446881,0.5655737704918032,0.5655737704918032,0.9087715563125399,0.879071747924207,0.5144773259527358,0.9053651266766021,0.9053651266766021
Australian,0.8141366829891421,0.698956780923994,0.5607834788162657,0.5689802001277411,0.8616137960400256,0.8548009367681498,0.7010857994464552,0.8561847988077496,0.8681073025335321
Australian,0.8138173302107727,0.6354055780285288,0.5262933787523951,0.5262933787523951,0.8339365552480307,0.853097721950181,0.784436874600809,0.8138173302107727,0.866084734937194
Australian,0.8484719864176571,0.6540747028862479,0.583616298811545,0.577037351443124,0.8185483870967742,0.8176994906621392,0.6678692699490663,0.810483870967742,0.8404074702886248
Australian,0.8609932088285229,0.6782682512733447,0.5689728353140917,0.5689728353140917,0.8705432937181664,0.8968590831918506,0.8075127334465195,0.8792444821731749,0.8690577249575552
Banana,0.8758884390463337,0.8395051731893837,0.5023031938821413,0.504408457040036,0.5,0.891336032388664,0.5279172289698606,0.8785964912280702,0.8856230319388214
Banana,0.851884840305893,0.8357714799820063,0.5021052631578947,0.5065137201979307,0.5,0.902123256860099,0.5131803868645974,0.8932613585245164,0.8999640125955916
Banana,0.8426090868196132,0.8358254610886189,0.5021052631578947,0.504408457040036,0.5,0.8929824561403509,0.45525865946918576,0.8891138101664418,0.8916779127305443
Banana,0.8688529014844804,0.8595231668915879,0.5001979307242466,0.5023031938821413,0.5,0.9175798470535312,0.5107422402159244,0.8986954565901935,0.9056230319388214
Banana,0.8715249798549556,0.8611718660066767,0.5031512605042017,0.5052521008403361,0.5,0.8912527339703005,0.5146914930355704,0.8528260619316219,0.8996129273627259
Cylinder Bands,0.5932678821879382,0.46563814866760167,0.4831697054698457,0.4884291725105189,0.6672510518934082,0.7296633941093968,0.5354137447405329,0.7303646563814867,0.6953015427769986
Cylinder Bands,0.6690042075736325,0.6455119214586256,0.5452314165497896,0.5315568022440392,0.6535764375876578,0.7643758765778401,0.5652173913043478,0.7622720897615709,0.776297335203366
Cylinder Bands,0.6858345021037868,0.6679523141654979,0.5213884992987378,0.5126227208976157,0.7019635343618513,0.794179523141655,0.5010518934081346,0.7948807854137447,0.7703366058906032
Cylinder Bands,0.6507936507936508,0.48253968253968255,0.5301587301587302,0.5476190476190476,0.6936507936507936,0.7761904761904762,0.40476190476190477,0.7396825396825397,0.7333333333333334
Cylinder Bands,0.5825396825396825,0.5095238095238095,0.5015873015873016,0.5333333333333333,0.680952380952381,0.746031746031746,0.5095238095238095,0.7396825396825397,0.7301587301587301
Chess,0.701851199561661,0.5172987358616101,0.5,0.6706586826347305,0.9628390278266996,0.9731810888027865,0.4978572267230245,0.9748150757308911,0.9716840828147626
Chess,0.6672671051339943,0.5074114066948071,0.5,0.6736526946107785,0.9687788357710808,0.992230293511338,0.5425493275743595,0.9831059193089231,0.9843182487484048
Chess,0.683159909688819,0.5280111907332875,0.5,0.6721556886227544,0.9636448414646117,0.9848876018454893,0.5245901639344263,0.9811818984980858,0.9938696377736331
Chess,0.7126730146264848,0.5102630803965839,0.5,0.6781437125748503,0.9769755570825562,0.987596937272995,0.5778099538627663,0.9905909492490429,0.9905909492490429
Chess,0.7119766825649179,0.5314432079137962,0.5,0.6785461932520755,0.9725755166931638,0.9803479950538774,0.579800388623918,0.9811870694223634,0.9830860272036743
Haberman,0.5843137254901961,0.4882352941176471,0.5071895424836601,0.5071895424836601,0.5732026143790849,0.5732026143790849,0.6679738562091504,0.6490196078431372,0.6568627450980392
Haberman,0.5916666666666667,0.5069444444444444,0.53125,0.53125,0.5,0.5180555555555555,0.6638888888888889,0.7354166666666666,0.5722222222222222
Haberman,0.6097222222222223,0.5048611111111111,0.53125,0.53125,0.4888888888888889,0.6229166666666667,0.5326388888888889,0.6548611111111111,0.6034722222222222
Haberman,0.5513888888888889,0.55625,0.5,0.5,0.5,0.5090277777777779,0.7152777777777778,0.6034722222222222,0.5833333333333333
Haberman,0.6229166666666667,0.5493055555555555,0.53125,0.53125,0.5,0.5715277777777779,0.7305555555555556,0.5034722222222222,0.6236111111111111
Mushroom,0.9104003373049576,0.686564979737436,0.6875,0.8488520408163265,0.9667715183576403,1.0,0.7445165194496348,1.0,1.0
Mushroom,0.9002125026164669,0.6808433669151173,0.6756066411238825,0.8473818646232439,0.9712848445136102,1.0,0.6243693935560591,1.0,1.0
